asin,title,imgUrl,productURL,stars,reviews,price,listPrice,categoryName,isBestSeller,boughtInLastMonth,mainCategory,discount_amount,discount_percent
B08D8FPBQV,Women's Breathable Seamless Thong Panties No Show Underwear,https://m.media-amazon.com/images/I/617eqhfdzKS._AC_UL320_.jpg,https://www.amazon.ca/dp/B08D8FPBQV,4.5,18465,35.98,42.98,Women's Clothing,True,200,Fashion,7.0,16.286644951140065
B07RN6FKMY,Women's Cotton Underwear High Waist Briefs Full Coverage Panties Ladies Comfortable Underpants 5 Pack Assorted X-Small,https://m.media-amazon.com/images/I/61HFXExKteL._AC_UL320_.jpg,https://www.amazon.ca/dp/B07RN6FKMY,4.3,47,27.99,40.99,Women's Clothing,True,0,Fashion,13.000000000000004,31.715052451817527
B09VT6YQWW,50ft Garden Hose-Expandable Water Hose with 10 Function Spray Nozzle. Heavy Duty Leak Proof with Durable 2-Latex,https://m.media-amazon.com/images/I/61Pa4YRSMLL._AC_UL320_.jpg,https://www.amazon.ca/dp/B09VT6YQWW,3.9,519,23.99,29.5,Garden Structures  Germination Equipment,True,0,Home & Garden,5.510000000000002,18.67796610169492
B0777TQYSW,"The Home Depot 49022-25PK Heavy Duty Brown Paper Lawn and Refuse Bags for Home and Garden, 30 gal (Pack of 25)",https://m.media-amazon.com/images/I/71+LkZYtCbL._AC_UL320_.jpg,https://www.amazon.ca/dp/B0777TQYSW,4.6,190,37.14,40.8,Garden Structures  Germination Equipment,True,300,Home & Garden,3.6599999999999966,8.97058823529411
B000CSYNEE,Chapin 6-4824 Fan Nozzle Kit,https://m.media-amazon.com/images/I/61-6poEkHwL._AC_UL320_.jpg,https://www.amazon.ca/dp/B000CSYNEE,4.0,342,15.75,19.48,Garden Structures  Germination Equipment,True,0,Home & Garden,3.7300000000000004,19.147843942505137
B074P44WM5,"OutdoorMaster Kelvin Ski Helmet - Snowboard Helmet for Men, Women & Youth",https://m.media-amazon.com/images/I/51JQM0U7l0L._AC_UL320_.jpg,https://www.amazon.ca/dp/B074P44WM5,4.5,8547,58.99,65.99,Snow  Ice Sports,True,0,Sports & Outdoors,6.999999999999993,10.607667828458847
B0788LG9Z5,CRYSULLY Men's Military Tactical Sport Warm Fleece Hooded Outdoor Adventure Jacket Coats,https://m.media-amazon.com/images/I/61YvKNLpCJL._AC_UL320_.jpg,https://www.amazon.ca/dp/B0788LG9Z5,4.3,5696,76.96,99.99,Snow  Ice Sports,True,0,Sports & Outdoors,23.03,23.032303230323034
B08XYK91CZ,"Just For Men Control GX 2 in 1 Grey Reducing Shampoo and Conditioner, Gradually Colors Hair, 118ml (3 Count)",https://m.media-amazon.com/images/I/91n5jIOSv2L._AC_UL320_.jpg,https://www.amazon.ca/dp/B08XYK91CZ,4.3,1012,33.57,38.91,Hair Care,True,200,Beauty & Personal Care,5.339999999999996,13.723978411719346
B0BJZNWPLX,Dirt Bike Goggles Motorcycle Motocross Eyewear ATV Off Road Riding Ski Glasses,https://m.media-amazon.com/images/I/61c888bHsEL._AC_UL320_.jpg,https://www.amazon.ca/dp/B0BJZNWPLX,4.1,236,23.99,29.99,Motorcycle Accessories  Parts,True,0,Automotive,6.0,20.00666888962988
B07B78R78Y,Wantdo Men's Leather Jacket with Removable Hood,https://m.media-amazon.com/images/I/81lrj4DrNWL._AC_UL320_.jpg,https://www.amazon.ca/dp/B07B78R78Y,4.3,7198,79.99,115.59,Motorcycle Accessories  Parts,True,0,Automotive,35.60000000000001,30.79851198200537
