asin,title,imgUrl,productURL,stars,reviews,price,listPrice,categoryName,isBestSeller,boughtInLastMonth,mainCategory,discount_amount,discount_percent
B08ZNL5L42,3 Pairs Small Huggie Hoop Earrings Set 14K Gold Hypoallergenic Lightweight Huggie Hoops Earrings for Women Girls,https://m.media-amazon.com/images/I/61fZ56VQ7sL._AC_UL320_.jpg,https://www.amazon.ca/dp/B08ZNL5L42,4.3,6218,11.9,18.99,"Clothing, Shoes  Jewellery",True,2000,Fashion,7.089999999999998,37.335439705107945
B082JGN73W,mens Ansa Fix Slide Sandal,https://m.media-amazon.com/images/I/6146cUjEBvL._AC_UL320_.jpg,https://www.amazon.ca/dp/B082JGN73W,4.3,18668,29.99,34.19,Men's Shoes,True,1000,Fashion,4.199999999999999,12.284293653114945
B00FWJF9VO,"Fibre 1 Chocolate Fudge Brownies, 5-Count, 125 Gram",https://m.media-amazon.com/images/I/81vGYKEoMcL._AC_UL320_.jpg,https://www.amazon.ca/dp/B00FWJF9VO,4.5,4614,2.66,3.67,Grocery,True,5000,Grocery,1.0099999999999998,27.520435967302443
B0BSHBYP2T,"OREO Chocolate & Double Stuf & Vanilla Sandwich Cookies, Variety School Snack Packs, 482g, 20 Packs",https://m.media-amazon.com/images/I/81qjn5tIz+L._AC_UL320_.jpg,https://www.amazon.ca/dp/B0BSHBYP2T,4.6,775,7.49,8.99,Grocery,True,5000,Grocery,1.5,16.685205784204673
B00TO910MK,"Pure Protein Bars, Gluten Free, Snack Bars, Chocolate Salted Caramel, 50 gram, 6 Count, Multi-colored",https://m.media-amazon.com/images/I/61zJVHbesVL._AC_UL320_.jpg,https://www.amazon.ca/dp/B00TO910MK,4.3,9330,10.47,12.99,Grocery,True,3000,Grocery,2.5199999999999996,19.39953810623556
B003M5KSWA,"Betty Crocker Butter and Herb Mashed Potato, 215 Gram",https://m.media-amazon.com/images/I/71Lgqr4tcfL._AC_UL320_.jpg,https://www.amazon.ca/dp/B003M5KSWA,4.6,3115,1.77,2.77,Grocery,True,2000,Grocery,1.0,36.101083032490976
B08BSM83B2,"Tim Hortons Chicken & Rice Soup, Ready-to-Serve, 540mL Can",https://m.media-amazon.com/images/I/61B55fHSdyL._AC_UL320_.jpg,https://www.amazon.ca/dp/B08BSM83B2,3.9,2373,2.97,4.49,Grocery,True,2000,Grocery,1.52,33.85300668151447
B001CUQ1C8,"ZeroWater Official Replacement Filter - 5-Stage Filter Replacement 0 TDS for Improved Tap Water Taste - System NSF Certified to Reduce Lead, Chromium, and PFOA/PFOS, 2-Pack",https://m.media-amazon.com/images/I/71raOJBcR1L._AC_UL320_.jpg,https://www.amazon.ca/dp/B001CUQ1C8,4.5,70877,29.96,47.59,Industrial  Scientific,True,4000,Hardware & Tools,17.630000000000003,37.04559781466695
B09R4GF86F,"kHelfer Electric Spin Scrubber, KH8W 2023 New Cordless Shower Scrubber with 4 Replacement Head, 1.5H Bathroom Scrubber Dual Speed, Shower Cleaning Brush with Extension Arm for Bathtub Grout Tile White",https://m.media-amazon.com/images/I/81IgCpxBl8L._AC_UL320_.jpg,https://www.amazon.ca/dp/B09R4GF86F,4.3,4686,69.88,89.99,Building Supplies,True,2000,Hardware & Tools,20.11,22.346927436381822
B09B7NQT2K,"Govee Smart Light Bulbs, WiFi Bluetooth Color Changing Light Bulbs, Music Sync, 54 Dynamic Scenes, 16 Million DIY Colors RGB Light Bulbs, Work with Alexa, Google Assistant & Govee Home App, 4 Pack",https://m.media-amazon.com/images/I/61VxkyychvL._AC_UL320_.jpg,https://www.amazon.ca/dp/B09B7NQT2K,4.6,4936,49.99,69.99,Industrial  Scientific,True,2000,Hardware & Tools,19.999999999999993,28.575510787255315
